Description,Amount,Category
Zomato dinner,350,Food
Uber ride to airport,1200,Transport
Recharge Jio 28 days,239,Utilities
Swiggy lunch combo,299,Food
Petrol filling,1000,Transport
Book from Amazon,450,Shopping
Netflix monthly subscription,499,Entertainment
Gym membership renewal,1500,Health
Doctor consultation,800,Health
Electricity bill,2200,Utilities
Tuition fee payment,5000,Education
Flipkart order (t-shirt),599,Shopping
Bus ticket to Chennai,400,Transport
Chicken biryani at Behrouz,320,Food
Movie tickets at PVR,750,Entertainment
Amazon Echo purchase,2999,Shopping
School books for kids,800,Education
Vaccination for pet,1200,Health
Broadband recharge ACT,1050,Utilities
Train ticket booking IRCTC,1500,Transport
Coffee from Starbucks,180,Food
Water bill payment,300,Utilities
Online course fee,1999,Education
Grocery purchase BigBasket,1100,Food
Swiggy order snacks,200,Food
Airtel mobile recharge,299,Utilities
Laptop bag Amazon,1299,Shopping
Auto fare to market,90,Transport
Netflix 4K plan,649,Entertainment
Hospital lab test,1800,Health
Lunch at KFC,275,Food
Paytm electricity bill,2100,Utilities
Online Udemy course,699,Education
Flipkart jeans purchase,1499,Shopping
Cab to railway station,230,Transport
Amazon Pantry groceries,850,Food
Dentist appointment,1500,Health
Vodafone prepaid recharge,199,Utilities
Phone case Amazon,350,Shopping
Metro recharge card,600,Transport
Spotify Premium plan,119,Entertainment
Medicine purchase Apollo,980,Health
Dinner at Dominos,400,Food
Gas bill,1500,Utilities
eLearning course Coursera,2100,Education
Shirt Myntra,899,Shopping
Bus pass monthly,1200,Transport
Juice shop snacks,130,Food
Lab blood test,2200,Health
TV cable bill,450,Utilities
Children's workbook,350,Education
Swiggy ice cream order,175,Food
Uber ride to office,200,Transport
Recharge Tata Sky,350,Utilities
Running shoes Amazon,2399,Shopping
Railway reservation sleeper,800,Transport
Evening snacks at Haldiram,220,Food
Vaccination hospital,1600,Health
Water can delivery,120,Utilities
Online coaching class,2500,Education
Flipkart watch,1999,Shopping
Rickshaw fare,70,Transport
Burger King meal,310,Food
Amazon fresh order,890,Food
Checkup appointment,1000,Health
Electricity board bill,1800,Utilities
Khan Academy donation,500,Education
Online wallet add money,500,Utilities
Bag from Myntra,1099,Shopping
Cab ride from airport,900,Transport
Breakfast at local cafe,150,Food
Physiotherapy session,1300,Health
Gas cylinder refill,1100,Utilities
Online certificate course,1800,Education
Earphones Amazon,799,Shopping
Cycle repair,200,Transport
Swiggy dinner meal,420,Food
Eye checkup,700,Health
Online electricity payment,2300,Utilities
Udemy Python course,450,Education
Amazon clothing order,999,Shopping
Bus fare to college,60,Transport
Tea and samosa,80,Food
Online yoga class,899,Health
Paytm water bill,320,Utilities
eBook purchase,250,Education
Swiggy burger order,310,Food
Ola ride to metro,140,Transport
Headphones Flipkart,1199,Shopping
Tablet purchase,1800,Shopping
Movie rental on Prime,149,Entertainment
Cheese burst pizza,450,Food
Grocery Kirana shop,700,Food
Electric kettle Amazon,1399,Shopping
Health insurance premium,4500,Health
Recharge postpaid BSNL,499,Utilities
Laptop EMI payment,3500,Utilities
College semester fees,12000,Education
Haircut salon,300,Health
Swiggy late night snacks,240,Food
Bus pass recharge,850,Transport
Paid for petrol at Indian Oil pump,900,Transport
Refueled bike at HP petrol pump,500,Transport
Diesel at Bharat Petroleum,1200,Transport
Filled petrol,650,Transport
Description,Amount,Category
Buy groceries from local mart,850,Food
Buy new smartphone from Croma,25000,Shopping
Buy school uniform,1200,Education
Buy vitamins and pain relief balm,680,Health
Buy bookshelf for home,3000,Shopping
Buy a new house downpayment,5000000,Housing
Buy monthly train pass,1200,Transport
Buy cold drink and chips,120,Food
Buy new running shoes Adidas,4000,Shopping
Buy recharge pack Airtel,299,Utilities
Buy AC from Flipkart,32000,Shopping
Buy health insurance for family,15000,Health
Buy rice and vegetables,950,Food
Buy tuition books for semester,2200,Education
Buy eye drops and prescription meds,780,Health
Buy sofa for living room,22000,Housing
Buy bicycle for college,6500,Transport
Buy smart watch from Amazon,4999,Shopping
Buy snacks at tea shop,90,Food
Buy mobile screen protector,350,Shopping
Buy WiFi router,1800,Utilities
Buy table lamp for study,900,Education
Buy bus ticket to Bangalore,800,Transport
Buy curtains and bedsheets,3200,Housing
Buy board games for kids,650,Entertainment
Buy protein supplement online,1300,Health
Buy grocery via Swiggy Instamart,1100,Food
Buy recliner chair,18000,Housing
Buy geometry box and pens,230,Education
Buy laundry detergent and cleaner,560,Utilities
Buy fan for bedroom,2500,Housing
Description,Amount,Category
Dinner at Domino's,250,Food
Snacks from tea stall,90,Food
Swiggy meal order,400,Food
Breakfast at Cafe Coffee Day,320,Food
Milk and eggs from grocery store,100,Food
Bus ticket to office,60,Transport
Ola ride to airport,900,Transport
Refueled car at HP petrol bunk,1200,Transport
Auto ride to station,70,Transport
Monthly metro card recharge,500,Transport
Amazon fashion sale - T-shirt,1500,Shopping
Flipkart smart watch deal,2999,Shopping
Zara jacket shopping,4800,Shopping
Online shopping for baby products,2200,Shopping
Purchase at Decathlon,750,Shopping
Monthly flat rent,9500,Housing
House EMI installment,25000,Housing
Furniture purchase for house,6500,Housing
Home maintenance charges,800,Housing
Water leakage plumbing repair,1350,Housing
Prescription medicine for cold,600,Health
Blood test and checkup,2500,Health
Consultation at city hospital,700,Health
Medical supplies from Apollo,300,Health
Eye checkup and specs,1800,Health
Electricity bill (April),700,Utilities
Water bill online payment,350,Utilities
Recharged mobile plan,450,Utilities
WiFi broadband payment,999,Utilities
Monthly OTT subscription (Netflix),299,Entertainment
Movie ticket at PVR Cinemas,150,Entertainment
Spotify Premium monthly plan,179,Entertainment
Bought gaming console,1499,Entertainment
Youtube premium subscription,99,Entertainment
Coursera ML course,3200,Education
College tuition installment,15000,Education
Notebook and stationery items,600,Education
Udemy course: Web Development,899,Education
Bought programming book online,250,Education
Advance rent paid for apartment,18000,Housing
Bus ticket to tuition class,75,Transport
Coffee and sandwich,100,Food
Online Diwali shopping,1350,Shopping
Doctor visit for allergy,2000,Health
